,nb,nb2,value
0,bmw,audi,2.230320699708454810495626822
1,bmw,acura,1.688477580813347236704900938
2,bmw,infiniti,2.428571428571428571428571429
3,bmw,lexus,2.309404420794105607859189521
4,bmw,honda,1.336183121897407611693325979
5,bmw,cadillac,2.112693050193050193050193050
6,bmw,mercedes,3.083147321428571428571428571
7,bmw,volvo,2.508554319931565440547476476
8,bmw,porsche,1.827842052313883299798792757
9,audi,acura,2.877312676895575748547594220
10,audi,infiniti,3.014512471655328798185941043
11,audi,lexus,3.223846558680778901818607099
12,audi,honda,2.310692616815065794657631392
13,audi,cadillac,3.917907703621989336275050561
14,audi,mercedes,4.197597789115646258503401361
15,audi,volvo,3.726994989612611511670536478
16,audi,porsche,2.697326818051164127622880138
17,acura,infiniti,3.403676669370100027034333604
18,acura,lexus,3.385564595402923890991989626
19,acura,honda,4.132260519121832990446129132
20,acura,cadillac,2.892582363385283093312290393
21,acura,mercedes,3.166172445255474452554744526
22,acura,volvo,2.922374229642903973075746318
23,acura,porsche,1.205921661354991261437236558
24,infiniti,lexus,5.103788602355937599490608087
25,infiniti,honda,2.516087516087516087516087516
26,infiniti,cadillac,4.109609609609609609609609610
27,infiniti,mercedes,4.525462962962962962962962963
28,infiniti,volvo,3.902195608782435129740518962
29,infiniti,porsche,2.141627543035993740219092332
30,lexus,honda,2.465621577369428372293701807
31,lexus,cadillac,5.147525749244946952683342368
32,lexus,mercedes,6.039353510028653295128939828
33,lexus,volvo,4.729595250759226532608136163
34,lexus,porsche,1.656846523265668509625085758
35,honda,cadillac,2.244078054888865699676510487
36,honda,mercedes,2.358832046332046332046332046
37,honda,volvo,1.762767900492451390654983469
38,honda,porsche,1.594703355266735548425689271
39,cadillac,mercedes,7.430320945945945945945945946
40,cadillac,volvo,6.960673248098397798996601392
41,cadillac,porsche,2.418633422154548915112295394
42,mercedes,volvo,6.767870508982035928143712575
43,mercedes,porsche,5.162852112676056338028169014
44,volvo,porsche,2.225900312051952433161845323
